Alloy No.,Al,Co,Cr,Cu,Fe,Ni,"Hardness, HV",modulus_mismatch,shear_modulus,cohesive_energy,6th_square_of_work_function,config_entropy,vec,itinerant_electrons
23.0,0,21.3,21.3,21.3,21.3,15,167.0,0.09999999999987244,514.5036573991881,264.28829885081745,4.880475775974261,2.4032318553618492,8.742,26.778
24.0,0,16.7,16.7,16.7,16.7,33.3,158.0,0.09999999999986339,514.2808839783943,264.60477288186127,22.65395586258566,2.3425975776048586,9.008,27.025999999999996
25.0,0,26.7,26.7,0,26.7,20,140.0,0.07999999999992674,516.6611237109339,265.11356582026207,15.342364175694877,2.069420078359368,8.141,26.159000000000002
26.0,0,20,20,0,20,40,125.0,0.07999999999991805,515.9000083490135,265.26410672869076,67.30329125537229,1.9982685603151835,8.6,26.6
27.0,14.3,14.3,14.3,0,14.3,42.9,242.0,0.09999999999983919,513.3359540482337,264.7144145090351,98.9534215288638,2.2133263312984996,8.008000000000001,24.882
28.0,15.4,15.4,15.4,0,15.4,38.5,265.0,0.09999999999984828,513.3212924012746,264.6293909220476,52.087182526469434,2.2798523212102904,7.853999999999999,24.64
29.0,16.7,16.7,16.7,0,16.7,33.3,335.0,0.09999999999985673,513.3039514675899,264.528451648672,22.52019337793699,2.3425975776048586,7.671999999999999,24.353999999999996
30.0,0,28.3,28.3,0,28.3,15,170.0,0.07999999999992262,516.7997415247486,265.0299371397648,20.499317660917537,2.0344017202344116,8.009,25.991000000000003
31.0,5,31.7,31.7,0,31.7,0,475.0,0.07999999999986669,516.6044022324626,264.7318001101465,40.13693350693909,1.8635194455486273,7.441000000000001,25.059
32.0,10,30,30,0,30,0,620.0,0.0799999999999058,515.7820977471671,264.49907635324325,28.8393079018943,1.9707510497891203,7.199999999999999,24.400000000000002
33.0,18.2,18.2,18.2,0,18.2,27.3,503.0,0.09999999999986359,513.2839244499577,264.41136217134874,8.151567472989125,2.3921405489755774,7.462000000000001,24.024
34.0,21.3,21.3,21.3,0,21.3,15,555.0,0.09999999999986448,513.263222930631,264.18938580939,4.304620803932231,2.4032318553618492,7.038,23.37
35.0,22.5,22.5,22.5,0,22.5,10,548.0,0.09999999999985165,513.2056178807258,264.04967364209625,5.746258561887671,2.3591218475990248,6.8500000000000005,23.05
36.0,23.8,23.8,23.8,0,23.8,5,615.0,0.09999999999980366,513.229767218368,263.99058609141656,8.02727903304255,2.274551936900175,6.688000000000001,22.82
37.0,25,25,25,0,25,0,720.0,0.07999999999991442,513.1720679298113,263.8495074994104,10.782843480055016,2.0794415416798357,6.5,22.5
38.0,23.8,5,23.8,0,23.8,23.8,550.0,0.09999999999980037,512.8877809543385,264.02982295762814,8.061524059626004,2.274551936900175,6.876000000000001,23.008000000000003
39.0,22.5,10,22.5,0,22.5,22.5,539.0,0.09999999999985,512.9786014521978,264.0756952723475,5.7705195222829655,2.3591218475990248,6.9750000000000005,23.175
40.0,16.7,33.3,16.7,0,16.7,16.7,532.0,0.09999999999985877,513.600179795678,264.4946434943776,22.267336996769775,2.3425975776048586,7.506,24.187999999999995
41.0,23.8,23.8,5,0,23.8,23.8,438.0,0.09999999999978239,511.1208331838403,264.312065834275,8.061524059626004,2.274551936900175,7.440000000000001,23.572000000000003
42.0,22.5,22.5,10,0,22.5,22.5,476.0,0.09999999999984131,511.82616170751857,264.2633705109312,5.7705195222829655,2.3591218475990248,7.3500000000000005,23.55
43.0,21.3,21.3,15,0,21.3,21.3,510.0,0.0999999999998599,512.5815324983794,264.2966358661331,4.320071844423968,2.4032318553618492,7.29,23.622
44.0,16.7,16.7,33.3,0,16.7,16.7,617.0,0.09999999999986808,514.9953519565374,264.2478522508823,22.267336996769775,2.3425975776048586,7.007999999999999,23.689999999999998
45.0,25,25,25,0,0,25,712.0,0.07999999999991397,513.0690212858298,264.0457675465444,12.61626007643026,2.0794415416798357,7.0,23.0
46.0,23.8,23.8,23.8,0,5,23.8,665.0,0.09999999999980291,513.152542610722,264.13733863220517,9.392005171928504,2.274551936900175,7.064000000000002,23.196
47.0,22.5,22.5,22.5,0,10,22.5,587.0,0.09999999999985128,513.154243588715,264.1470848753979,6.713101636903174,2.3591218475990248,7.1000000000000005,23.3
48.0,21.3,21.3,21.3,0,15,21.3,558.0,0.09999999999986431,513.2374190543392,264.23820541793503,4.920372664444613,2.4032318553618492,7.164,23.496
49.0,16.7,16.7,16.7,0,33.3,16.7,510.0,0.09999999999985722,513.3716530242514,264.4013824910609,12.443410055194704,2.3425975776048586,7.339999999999999,24.021999999999995
50.0,15,28.3,28.3,0,28.3,0,655.0,0.07999999999991521,514.9254181556479,264.26367972561127,20.37173492970797,2.0344017202344116,6.9590000000000005,23.741000000000003
51.0,20,26.7,26.7,0,26.7,0,695.0,0.07999999999991701,514.1035456299079,264.0896812532649,14.625520736690227,2.069420078359368,6.7410000000000005,23.159000000000002
52.0,40,20,20,0,20,0,775.0,0.07999999999989169,510.18048865139787,263.17867644696867,21.4253111590747,1.9982685603151835,5.800000000000001,20.6
53.0,5.7,18.9,18.9,18.9,18.9,18.9,185.0,0.11999999999976968,513.6180498057556,264.1695147259003,3.0150878001414174,2.606498907063255,8.486999999999998,26.066999999999997
54.0,13.8,17.2,17.2,17.2,17.2,17.2,273.0,0.11999999999979716,512.2865576894841,263.78039645863566,1.7445424232918203,2.6807002647193627,7.981999999999998,24.841999999999995
55.0,20.6,15.9,15.9,15.9,15.9,15.9,475.0,0.11999999999978672,511.25041987206424,263.5835908837769,1.4212861186974612,2.6810125540880727,7.614000000000001,23.984
56.0,26.5,14.7,14.7,14.7,14.7,14.7,558.0,0.11999999999976652,510.21651991036765,263.3338717068679,2.264920038770634,2.6417383857201253,7.263,23.143
57.0,23.1,15.4,15.4,15.4,15.4,15.4,510.0,0.11999999999977934,510.8290212356671,263.4872048375416,1.5831918029496448,2.668516558908136,7.468999999999999,23.639
58.0,31.5,13.7,13.7,13.7,13.7,13.7,603.0,0.11999999999974388,509.3198363045371,263.13826420604437,4.943694211411847,2.588261945339695,6.973,22.452999999999996
59.0,33.3,13.3,13.3,13.3,13.3,13.3,625.0,0.11999999999973295,508.9337095227204,263.0237206105194,6.655762442769026,2.561619223489828,6.851,22.151
60.0,35.9,12.8,12.8,12.8,12.8,12.8,655.0,0.11999999999971839,508.46957394211023,262.94264082244223,10.165700521112864,2.525153125990962,6.709,21.819
61.0,37.5,12.5,12.5,12.5,12.5,12.5,735.0,0.11999999999970895,508.189318127675,262.9010440254765,13.080022378087422,2.501192900143942,6.625,21.625
62.0,2.4,24.4,24.4,0,24.4,24.4,118.0,0.09999999999973072,516.0968689461757,265.03152569480943,11.684001286262006,2.199368698751432,8.123999999999999,25.932000000000002
63.0,9.1,22.7,22.7,0,22.7,22.7,127.0,0.09999999999986023,515.0334337374948,264.71582606434396,7.578057451276875,2.346757039105512,7.763999999999999,25.018
64.0,14.9,21.3,21.3,0,21.3,21.3,338.0,0.09999999999986989,514.1319707674874,264.4992291933469,5.220947683563684,2.401881164236223,7.476,24.302
65.0,16.7,20.8,20.8,0,20.8,20.8,382.0,0.09999999999986905,513.7828390914685,264.37587385002695,4.583719250421549,2.4079663120770904,7.365,24.011000000000003
66.0,18.4,20.4,20.4,0,20.4,20.4,527.0,0.09999999999986826,513.5160137591669,264.3203931895948,4.169563974682433,2.4129317769078047,7.284,23.811999999999998
67.0,23.1,19.2,19.2,0,19.2,19.2,479.0,0.09999999999986203,512.66708806743,264.08515895037016,3.4745656915399064,2.4088388802829264,7.029,23.163000000000004
68.0,31,17.2,17.2,0,17.2,17.2,482.0,0.09999999999984382,511.17390240857253,263.6985530362972,5.527427073182306,2.361189234236951,6.605999999999999,22.09
69.0,14.3,42.9,0,14.3,14.3,14.3,166.0,0.09999999999982015,511.0425522563704,264.2256112752217,97.73892398666679,2.213326331298499,8.437000000000001,25.311
70.0,20,20,0,20,20,20,536.0,0.09999999999983666,509.0726828507986,263.6300996457225,3.5285876625317343,2.4141568686511508,8.200000000000001,24.6
71.0,23.8,4.8,0,23.8,23.8,23.8,531.0,0.09999999999973659,507.66547156511126,263.23857693085415,7.180775366180104,2.2685039236849716,8.048,24.144000000000005
72.0,22.2,11.1,0,22.2,22.2,22.2,545.0,0.0999999999998161,508.24101918958695,263.38154176515815,4.758732387791639,2.370768234382352,8.103,24.309
73.0,18.2,27.3,0,18.2,18.2,18.2,366.0,0.09999999999983779,509.73376544671675,263.8353039844371,7.904292883671518,2.392140548975577,8.281,24.843
74.0,16.7,33.3,0,16.7,16.7,16.7,249.0,0.0999999999998337,510.2470825299476,263.98630305793836,22.162222421782168,2.3425975776048586,8.341,25.022999999999996
75.0,5.9,23.5,23.5,0,23.5,23.5,110.0,0.09999999999983808,515.5379952144817,264.8572939618601,9.325429438065475,2.292393646825812,7.9319999999999995,25.442
76.0,8.6,22.9,22.9,0,22.9,22.9,131.0,0.09999999999985887,515.1786459299497,264.8005929901946,7.98669295587467,2.341811350209924,7.8149999999999995,25.163
77.0,15.8,21.1,21.1,0,21.1,21.1,388.0,0.09999999999987012,514.0044040416852,264.48001335357367,4.957694567142005,2.4070687645020605,7.437,24.209000000000003
78.0,17.9,20.5,20.5,0,20.5,20.5,538.0,0.09999999999986836,513.5782100032532,264.3216779739979,4.261107665447157,2.4111559223462473,7.302,23.852
79.0,23.8,19,19,0,19,19,487.0,0.09999999999986052,512.516458495448,264.031490946485,3.4431438561019396,2.4057015798725887,6.984,23.044
80.0,3.8,0,19.2,19.2,19.2,38.5,162.0,0.09999999999976548,513.4954105461878,264.2197244730724,53.2368060024506,2.1634548474671296,8.764,26.442000000000004
81.0,5.7,0,18.9,18.9,18.9,37.7,170.0,0.09999999999980788,513.2600026337376,264.1864891426724,46.98408005017978,2.213523178181749,8.665999999999999,26.228
82.0,7.4,0,18.5,18.5,18.5,37,200.0,0.09999999999982473,512.9636541494984,264.08209153339186,41.96514281974084,2.245579667702124,8.547,25.936999999999998
83.0,9.1,0,18.2,18.2,18.2,36.4,238.0,0.099999999999835,512.7511408861674,264.05914934005256,38.04597569491063,2.274334740306573,8.463000000000001,25.753
84.0,10.7,0,17.9,17.9,17.9,35.7,278.0,0.09999999999984027,512.5081079722454,263.9968001216867,33.8853675601722,2.296038745712818,8.366,25.528
85.0,12.3,0,17.5,17.5,17.5,35.1,290.0,0.09999999999984238,512.2155422444044,263.8967291209122,30.58409424836161,2.310450370868976,8.254,25.252000000000002
86.0,13.8,0,17.2,17.2,17.2,34.5,315.0,0.0999999999998436,511.9811469432596,263.83919777891543,27.59548813853341,2.323134811859849,8.164,25.042
87.0,15.3,0,16.9,16.9,16.9,33.9,339.0,0.09999999999984377,511.74404001345226,263.7815044938597,24.868535730063556,2.3329767552932124,8.073999999999998,24.831999999999994
88.0,16.7,0,16.7,16.7,16.7,33.3,392.0,0.09999999999984406,511.5678383524547,263.76683136349624,22.415078802949385,2.3425975776048586,8.005999999999998,24.687999999999995
89.0,19.4,0,16.1,16.1,16.1,32.3,521.0,0.09999999999984094,511.1052857900296,263.6442335641159,18.807709630188025,2.3479361811531567,7.837,24.284999999999997
90.0,23.1,0,15.4,15.4,15.4,30.8,546.0,0.09999999999983522,510.51427990305916,263.5201498867315,14.663736628463125,2.348282561489441,7.623,23.793
91.0,24.2,0,15.2,15.2,15.2,30.3,550.0,0.09999999999983301,510.3283922330436,263.47569368134305,13.591764885290193,2.3462843204339405,7.555999999999999,23.637999999999998
92.0,26.5,0,14.7,14.7,14.7,29.4,544.0,0.09999999999982696,509.90701070152716,263.3655563742678,12.159685783597094,2.3360604790931894,7.41,23.29
93.0,28.6,0,14.3,14.3,14.3,28.6,567.0,0.09999999999982156,509.56407758129154,263.30446031171056,11.47529454765518,2.325563058135995,7.293000000000001,23.023000000000003
94.0,30.6,0,13.9,13.9,13.9,27.8,576.0,0.09999999999981535,509.207327976315,263.225461544194,11.336816649180854,2.3116375400132925,7.173000000000001,22.743000000000002
95.0,33.3,0,13.3,13.3,13.3,26.7,593.0,0.09999999999980466,508.6616497163767,263.0762127676768,12.210953004671111,2.2855370708794807,6.994,22.312
96.0,20,0,20,20,20,20,479.0,0.09999999999985229,511.13482484424577,263.3194680949539,3.5285876625317343,2.4141568686511508,7.6,24.000000000000004
97.0,21.7,0,21.7,21.7,21.7,13,494.0,0.09999999999984366,510.8735616500209,263.05042092354375,4.181961309630222,2.387114080487742,7.3759999999999994,23.604
98.0,20.8,0,20.8,20.8,20.8,16.7,486.0,0.0999999999998501,511.0109305888314,263.1919304002154,3.5272346424856207,2.4079663120770904,7.494,23.812
99.0,19.2,0,19.2,19.2,19.2,23.1,408.0,0.09999999999985187,511.2121817678325,263.40025627331795,4.372524236773016,2.408838880282927,7.686,24.132
100.0,18.5,0,18.5,18.5,18.5,25.9,370.0,0.09999999999985064,511.29961155725346,263.49073719826396,6.349716163591726,2.3978486177475213,7.77,24.272
101.0,16.7,16.7,16.7,8.3,16.7,25,358.0,0.11999999999978013,512.6143442666312,264.1362496682906,4.822285891836817,2.6230712514810715,7.754999999999999,24.436999999999998
102.0,20,20,20,10,10,20,586.0,0.1199999999997774,512.3599232340472,263.84687796135887,3.326359862429734,2.622101022819134,7.500000000000001,23.900000000000002
103.0,16.7,16.7,25,8.3,16.7,16.7,601.0,0.11999999999978948,513.5063889193204,263.9937194514047,4.780367664870187,2.6230712514810715,7.423,24.104999999999997
104.0,15.4,30.8,15.4,7.7,15.4,15.4,295.0,0.11999999999977193,512.9662291843271,264.2358317042131,13.93293129266874,2.5688347208035935,7.776999999999999,24.563
105.0,22.2,22.2,0,11.1,22.2,22.2,584.0,0.09999999999982799,509.6106675437703,263.9004538945859,5.329740836204097,2.370768234382352,7.881,24.087
106.0,15.4,15.4,15.4,7.7,15.4,30.8,310.0,0.11999999999976876,512.6828707405261,264.26759604116256,14.091288552664219,2.5688347208035935,7.931,24.717
107.0,16.7,25,16.7,8.3,16.7,16.7,451.0,0.11999999999978175,512.7680611272315,264.119025975086,4.780367664870187,2.6230712514810715,7.671999999999999,24.353999999999996
108.0,20,20,10,10,20,20,546.0,0.11999999999976513,511.2615855547607,263.94132943871386,2.8651220968047344,2.6221010228191344,7.700000000000001,24.1
109.0,15.4,15.4,30.8,7.7,15.4,15.4,607.0,0.11999999999978633,514.3031253427719,264.0040561420403,13.93293129266874,2.5688347208035935,7.3149999999999995,24.101000000000003
110.0,16.7,16.7,16.7,8.3,25,16.7,537.0,0.11999999999978049,512.6493812870265,264.07158605169036,3.1517688636867196,2.6230712514810715,7.5889999999999995,24.270999999999997
111.0,15.4,15.4,15.4,7.7,30.8,15.4,514.0,0.11999999999976949,512.7476152430776,264.1482250903749,7.780465827165064,2.5688347208035935,7.623,24.409000000000002
112.0,20,20,20,10,20,10,604.0,0.11999999999977785,512.402655755568,263.76783453784503,2.8532503765682953,2.622101022819134,7.300000000000001,23.700000000000003
113.0,22.2,22.2,22.2,11.1,22.2,0,639.0,0.09999999999984881,512.2559110352886,263.5125066472721,5.30718333698945,2.3707682343823526,6.993,23.198999999999998
114.0,22.2,0,22.2,11.1,22.2,22.2,534.0,0.09999999999984564,511.8315760344063,263.55992352050697,5.329740836204097,2.370768234382352,7.215,23.421
115.0,30.8,15.4,15.4,7.7,15.4,15.4,609.0,0.11999999999974026,510.3017347247468,263.4500782481751,4.678696963026635,2.5688347208035935,6.853,22.407
116.0,20,10,20,10,20,20,551.0,0.11999999999977579,512.2139626018209,263.7889426080055,2.8651220968047344,2.6221010228191344,7.4,23.800000000000004
117.0,11.1,0,22.2,22.2,22.2,22.2,382.0,0.09999999999985085,512.5339976662788,263.6131367074234,6.056371836938663,2.370768234382352,8.103,25.197000000000003
118.0,27.3,0,18.2,18.2,18.2,18.2,573.0,0.09999999999983922,509.9158483074505,263.07927066429977,3.745707555759337,2.392140548975577,7.189,23.023
119.0,33.3,0,16.7,16.7,16.7,16.7,651.0,0.09999999999982181,508.83477725908074,262.86190122808534,7.385557284145765,2.3425975776048586,6.843999999999999,22.197999999999997
120.0,7.7,30.8,0,0,30.8,30.8,135.0,0.07999999999987809,513.1149204160033,265.1261696848027,33.92880559957173,1.9283667259662038,8.547,25.948999999999998
121.0,14.3,28.6,0,0,28.6,28.6,205.0,0.07999999999990146,512.0977698028667,264.8150964940909,21.788887944206017,2.0282029176757783,8.151,25.025000000000006
122.0,20,26.7,0,0,26.7,26.7,380.0,0.07999999999990429,511.1767728204578,264.5425897225085,14.693792429657611,2.069420078359368,7.809,24.227000000000004
123.0,8,17,17,8,17,33,280.0,0.11999999999976409,513.8916848347105,264.5712935608485,21.381317905846895,2.5105098578500638,8.33,25.690000000000005
124.0,23,15,23,8,15,16,580.0,0.1199999999997729,512.3470860848869,263.70279068845906,3.536609782087863,2.610687401155902,7.1,23.26
125.0,16.7,0,55.6,0,0,27.8,371.0,0.059999999999948886,516.7589862439137,264.03081334238317,469.0027561974353,1.4716983395673,6.617000000000001,23.299
126.0,11.8,0,29.4,0,44.1,14.7,450.0,0.07999999999989782,515.0603989163354,264.36951736115714,71.34338072873865,1.8824694920536245,7.116,24.171999999999997
127.0,6.3,0,31.3,0,46.9,15.6,304.0,0.07999999999987115,515.9695935443755,264.6210362603366,103.29185969793654,1.7740105684907277,7.379,24.893
128.0,38.5,15.4,15.4,0,15.4,15.4,695.0,0.09999999999981948,509.7605240251287,263.4128842851848,15.760461860211903,2.2798523212102904,6.237,21.175
129.0,42.9,14.3,14.3,0,14.3,14.3,740.0,0.09999999999979967,508.83132222588705,263.2038190722597,29.227872157377654,2.213326331298499,6.006,20.592000000000002
130.0,9.1,18.2,18.2,18.2,18.2,18.2,207.0,0.11999999999979338,513.084497585281,264.0212202349616,2.4066206353378163,2.6527931008923025,8.281,25.570999999999998
131.0,28.6,14.3,14.3,14.3,14.3,14.3,576.0,0.1199999999997583,509.87026970964126,263.27354637777404,3.090011378985571,2.622923198596211,7.15,22.880000000000003
132.0,20,20,20,20,0,20,415.0,0.09999999999985448,511.4413230496184,263.4378487220067,3.9971466625317342,2.4141568686511508,7.800000000000001,24.200000000000003
133.0,25,16.7,16.7,8.3,16.7,16.7,602.0,0.11999999999976625,511.36114519676477,263.6968577300775,2.3307098781454636,2.6230712514810715,7.1739999999999995,23.191999999999997
134.0,0,20,20,20,20,20,155.0,0.09999999999987408,514.407288639006,264.34052934586754,4.233370941296192,2.4141568686511508,8.8,26.8
135.0,0,25,25,0,25,25,139.0,0.07999999999992709,516.4574251379124,265.13609903607386,13.517384186707275,2.0794415416798357,8.25,26.25
136.0,25,25,0,0,25,25,430.0,0.07999999999990158,510.308544193836,264.2788255331397,10.828849340346276,2.0794415416798357,7.5,23.5
137.0,20,20,20,0,20,20,516.0,0.09999999999986671,513.239113003207,264.247903826021,3.838717881475734,2.4141568686511508,7.200000000000001,23.6
138.0,43,6,33,6,6,6,764.0,0.1199999999995581,510.36237278956594,262.61792391123697,49.34048278468635,2.105976552511782,5.549999999999999,20.109999999999996
139.0,42.9,14.3,7.1,7.1,7.1,21.4,591.0,0.11999999999959314,506.9901895769374,262.9893091098365,30.411312593016476,2.301789063497089,6.488999999999999,21.038999999999998
140.0,42.9,21.4,7.1,7.1,7.1,14.3,701.0,0.11999999999959658,507.16311937469874,262.9737282291747,30.39482489243887,2.301789063497089,6.417999999999999,20.968
141.0,40,13.3,6.7,13.3,20,6.7,768.0,0.11999999999961901,506.87703123208263,262.7626623841022,19.574299743462937,2.3808664615859416,6.532,21.332
142.0,46.2,15.4,7.7,7.7,15.4,7.7,702.0,0.11999999999959911,506.4977655547148,262.74013681640065,45.183189238557375,2.287847400884636,6.083,20.405
143.0,42.9,14.3,14.3,7.1,7.1,14.3,720.0,0.11999999999964613,508.0320541637733,262.882198657422,29.159311304242635,2.359544057760976,6.211,20.779
144.0,42.9,7.1,14.3,7.1,14.3,14.3,694.0,0.11999999999964389,507.9023060146454,262.83849011046476,29.09764537956349,2.359544057760976,6.138999999999999,20.707
145.0,7,0,23.3,0,23.3,46.5,149.0,0.07999999999987775,515.0306301249942,264.8963568561564,163.69085173120985,1.8315555815368905,8.122,25.580000000000005
146.0,11.1,0,22.2,0,22.2,44.4,229.0,0.07999999999989754,514.3356782433845,264.6718205057135,124.02326859602125,1.9091322121294287,7.881,24.975
147.0,13,0,28,22,6,31,459.0,0.0999999999998061,512.8613606004666,263.57101433661734,22.808820949899328,2.2299578480791893,8.07,25.029999999999998
148.0,12,0,31,21,5,31,469.0,0.09999999999979083,513.4037398667152,263.6290365510199,28.840126092104367,2.1871315705336754,8.03,25.07
149.0,12,0,31,20,5,32,483.0,0.09999999999979092,513.4848852091875,263.6778819258351,31.550570087709172,2.1806872730920803,8.02,25.060000000000002
150.0,10,0,35,25,5,25,472.0,0.09999999999978783,513.7796994160216,263.47001603331415,35.2199903915801,2.1609450706673803,8.05,25.25
151.0,10,0,35,26,5,24,454.0,0.09999999999978693,513.6997151806053,263.42067215757027,35.07950801177598,2.160344910564892,8.06,25.259999999999998
152.0,10,0,35,24,5,26,441.0,0.09999999999978858,513.8593727303992,263.51924139913956,35.67260411653771,2.160344910564892,8.04,25.240000000000002
153.0,11,0,29,29,5,26,495.0,0.09999999999978162,512.6698410811535,263.3243243760604,20.59916567468859,2.1911896936212383,8.26,25.38
154.0,11,0,28,29,7,25,477.0,0.0999999999998105,512.5684664655686,263.32594288076484,17.811116503375178,2.236403978676321,8.26,25.380000000000003
155.0,11,0,28,27,6,28,469.0,0.09999999999979994,512.7329465358255,263.4330192680218,19.334527492947792,2.216978487460956,8.260000000000002,25.38
